,Unnamed: 0,Oración 1,Oración 2,Similitud
0,0.0,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,"ej japón usan un tipo de arroz que se llama koshihikari, cuya mayor característica es que se compacta; es decir que es arroz glutinoso.",0.6290040016174316
1,1.0,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,ahora para hacer el sushi se intenta enriquecer las distintas variedades del arroz.,0.7078461647033691
2,2.0,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,"hoy en día, tratamos de que loa arroces que se usan sean mejores.",0.7234930992126465
3,3.0,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.","ese arroz es el mejor para hacer sushi, sin embargo apenas hace una años se utiliza para cocinarlo, esto desde 1956, cuando se combinaron las cepas del nourin 1 y nourin 22 que son cepas del arroz.",0.740409255027771
4,4.0,el concepto del sushi empezó a ser conocido en california.,el sushi apareció en la vida californiana.,0.794443666934967
5,5.0,el concepto del sushi empezó a ser conocido en california.,el sushi se empezó a conocer en california.,0.8014447093009949
6,6.0,en la actualidad se procura mejorar las variedades de arroz empleados en la elaboración del sushi.,actualmente se desea mejorar las variedades de arroz para el sushi.,0.8057246804237366
7,7.0,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas.,0.8292201161384583
8,8.0,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,en 1910 cerca de 40 mil japoneses se van a eeuu para construir vías ferroviarias.,0.841235876083374
9,9.0,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.",en 1956 se creó el arroz perfecto para hacer el sushi por la mezcla de dos cepas distintas de nourin no.1 y nourin no. 22.,0.8498851656913757
10,10.0,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,en japón se utiliza un tipo de arroz glutinoso conocido como koshihikari por su capacidad para compactarse.,0.8742864727973938
11,11.0,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,"así, en el año de 1910, más de treinta mil japoneses se fueron a américa del norte para hacer trenes y poner vías.",0.883496105670929
12,12.0,de esta forma en 1910 casi cerca de cuarenta mil japoneses inmigran a estados unidos para trabajar en la construcción de las líneas ferroviarias.,en 1910 mas de treinta y cinco mil japoneses llegan a estados unidos para construir líneas ferroviarias.,0.9038219451904296
13,13.0,el concepto del sushi empezó a ser conocido en california.,el sushi empezó a conocerse en california.,0.911303699016571
14,14.0,"este tipo de arroz es ideal para la elaboración del sushi, pero es reciente en la historia del sushi ya que fue creado en 1956, por la combinación de dos cepas diferentes de nourin no.1 y nourin no.22.","este arroz es excelente para elaborar sushi, aunque apenas fue utilizado al ser descubierto en 1956, por la mezcla de dos cepas diferentes.",0.922928273677826
15,15.0,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",el sushi sale fuera de japón debido en parte a la emigración de japoneses a eeuu.,0.9323213696479796
16,16.0,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.","gracias a las inmigraciones japonesas a otros países el sushi se empezó a realizar en otros países, como estados unidos que fue un país que admitió japoneses para trabajar en la elaboración de líneas ferroviarias.",0.9336727261543274
17,17.0,"el sushi empieza a prepararse fuera de japón debido en parte a las inmigraciones de japoneses a otros países, uno de los países que acepta japoneses es eeuu para trabajar en la construcción de vías ferroviarias.",los inmigrantes comenzaron a hacer el sushi en e.u. cuando aceptaron a varias personas de japón para que construyeran trenes y colocaran vías de tren en américa.,0.9448006749153136
18,18.0,en japón se emplea una variedad de arroz denominada koshihikari su capacidad para compactarse se encuentra en la tipología de los arroces glutinosos.,la aptitud para compactarse la diversidad de arroz en japón llamada koshihikari se localiza en la tipología de los arroces glutinos.,0.9506287574768066
19,19.0,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.",considero que el cambio se nota cuando el deseo de salir a comer se ve motivado por la idea de ir a reír y ser asombrado en algún restaurante.,0.769607424736023
20,20.0,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","hogaño, al ir a un comedor, las expectativas de reír por momentos y de llevarte una sorpresa son muy altas, por eso, la idea de comer fuera de casa es bastante encantadora. posiblemente, eso es lo diferente.",0.8213586211204529
21,21.0,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","actualmente, bañar los alimentos en agua es tan popular que se emplea en las casas particulares aún cuando varios cocineros creyeron que este método, en ocasiones pasadas,  era una farsa.",0.8830095529556274
22,22.0,"a pesar de que la técnica del baño en agua alguna vez fue considerada por los chefs como un engaño, hoy en día es de uso tan generalizado que está llegando a los hogares.","otrora, el método del baño en agua fue considerada por los cocineros expertos como un engaño. hoy, su uso es muy común en los hogares.",0.8839614987373352
23,23.0,"a pesar de la aventura y las delicias, varios cocineros consideran a la gastronomía molecular no tanto como una revolución sino más bien una moda pasajera.","muchos chefs creen que la gastronomía molecular es más una moda pasajera que una revolución, sin importar el deleite y las aventuras que se viven en la cocina.",0.9029086828231812
24,24.0,"la popularidad de la comida preparada con la técnica sous-vide, en la que se usan bolsas de plástico cerradas al vació para cocinar lentamente en agua, es uno de los resultados de esa obsesión de encontrar la temperatura perfecta para preparar los platos más delicados.","el sous vide, que es la técnica popular de hacer comida al meterla en bolsas de plástico selladas al vacío para cocinar en agua lenta, surge como consecuencia de la larga búsqueda de averiguar cuál es el calor ideal hasta para los alimentos más finos.",0.905788242816925
25,25.0,"a pesar de la aventura y las delicias, varios cocineros consideran a la gastronomía molecular no tanto como una revolución sino más bien una moda pasajera.",diversos cocineros piensan que la gastronomía molecular es más una moda pasajera antes que una rebelión aun teniendo en cuenta los deleites y peripecias que conlleva.,0.9061174392700196
26,26.0,"ahora, cuando vas a un restaurante, esperas que te sorprendan, esperas reírte un rato y eso hace parte del atractivo de comer afuera. creo que ese es el cambio.","el cambio quizá es que cuando vas a un restaurante esperas ser sorprendido y lanzar unas risotadas estruendosas, que es parte del atractivo de comer fuera.",0.9168242812156676
27,27.0,"si bien algunas técnicas de cocina molecular, como la instilación al vacío y la centrifugación requieren una fuerte inversión e instrumentos especializados, también le han ayudado a los expertos a descubrir cosas como las temperaturas ideales en la cual cocinar nuestra comida favorita.","aunque elementos de la cocina molecular, como la centrifugación y la instilación al vacío son muy caras y necesitan de instrumentos acordes a la especialidad, esto ha sido de utilidad a los expertos para conocer nuevas ideas como cuál es la temperatura perfecta para preparar los alimentos predilectos.",0.9274768233299256
